usn	year	quarter	shootlong	shootlat	density.wt
20121	2012	1	-7.1135	58.3298	5300.21656
20121	2012	1	-6.1328	58.9382	2493.757077
20121	2012	1	-5.8588	58.8237	2910.57933
20121	2012	1	-8.3352	58.0848	3156.691973
20121	2012	1	-5.76	58.7605	1587.477584
20121	2012	1	-9.9638	54.6093	1710.979918
20121	2012	1	-5.3168	58.7668	1652.138034
20121	2012	1	-4.8477	59.4445	1469.884547
20121	2012	1	-4.7508	58.8352	1727.338655
20121	2012	1	-5.3435	59.4322	1274.657492
20121	2012	1	-7.281	58.6855	1850.298815
20121	2012	1	-4.8597	59.2713	1979.007589
20121	2012	1	-4.2255	59.618	962.4727742
20121	2012	1	-5.2187	59.2735	854.357343
20121	2012	1	-7.355	58.1298	722.8534608
20121	2012	1	-8.5405	55.3847	760.7670976
20121	2012	1	-4.2332	59.2185	664.0583263
20121	2012	1	-8.5562	55.9762	877.7401693
20121	2012	1	-8.8075	56.1415	502.0812303
20121	2012	1	-8.2955	56.9535	469.8978232
20121	2012	1	-8.719	57.0587	325.5168777
20121	2012	1	-9.5765	54.5772	397.8449193
20121	2012	1	-9.0685	55.1177	306.2084252
20121	2012	1	-8.0118	56.1192	354.9234458
20121	2012	1	-4.4002	58.7133	335.6151227
20121	2012	1	-6.7423	57.6708	317.9364156
20121	2012	1	-4.1013	59.9175	243.6842017
20121	2012	1	-8.8098	57.5398	227.6316555
20121	2012	1	-6.9962	57.1005	220.9692591
20121	2012	1	-7.7988	55.8673	159.0795713
20121	2012	1	-7.6123	56.3688	158.9606958
20121	2012	1	-8.2622	55.832	163.5726703
20121	2012	1	-9.9892	54.8418	354.8301538
20121	2012	1	-8.9422	54.5878	176.6489438
20121	2012	1	-5.1885	55.1192	212.25866
20121	2012	1	-7.7423	55.8007	142.292556
20121	2012	1	-6.6638	56.6913	151.1929068
20121	2012	1	-7.1242	56.8737	94.04029378
20121	2012	1	-5.8553	58.4918	102.5232894
20121	2012	1	-5.4665	55.2473	137.824404
20121	2012	1	-5.5158	59.6387	79.21040094
20121	2012	1	-7.218	55.9937	60.57982371
20121	2012	1	-10.2417	54.767	102.1630907
20121	2012	1	-5.8833	55.6405	55.31843743
20121	2012	1	-6.383	59.436	40.46487658
20121	2012	1	-6.9288	57.431	72.46868072
20121	2012	1	-9.332	57.7188	65.23321415
20121	2012	1	-9.2742	55.4533	42.00607691
20121	2012	1	-5.3622	58.4112	46.45863461
20121	2012	1	-5.9577	58.2487	19.15729565
20121	2012	1	-6.036	57.6468	18.75631341
20121	2012	1	-7.1417	55.9175	19.73069556
20121	2012	1	-7.9788	56.4398	13.18131811
20121	2012	1	-7.4577	55.5605	13.04876461
20121	2012	1	-6.5	55.3863	7.947879659
20121	2012	1	-5.9708	59.7068	3.987407987
20121	2012	1	-9.2518	55.8362	5.505353543
20121	2012	1	-6.4988	56.7153	0
20121	2012	1	-8.4792	58.431	0
20121	2012	1	-9.4338	57.9432	0
20121	2012	1	-6.8088	55.5555	0
20121	2012	1	-4.8488	55.4425	0
20121	2012	1	-5.9902	58.2137	0
